80.12		# MHz
0.400000	# s
10.00  0.20	# Hz
#offset(ppm)    Intensity    error
# A1 R2a: 10.0 R2b: 10.0 dw: -5.0
 100.000    0.672    0.006
 100.201    0.682    0.006
 100.402    0.671    0.006
 100.603    0.656    0.006
 100.804    0.665    0.006
 101.005    0.657    0.006
 101.206    0.668    0.006
 101.407    0.669    0.006
 101.608    0.672    0.006
 101.809    0.672    0.006
 102.010    0.664    0.006
 102.211    0.668    0.006
 102.412    0.668    0.006
 102.613    0.667    0.006
 102.814    0.680    0.006
 103.015    0.675    0.006
 103.216    0.678    0.006
 103.417    0.679    0.006
 103.618    0.665    0.006
 103.819    0.674    0.006
 104.020    0.665    0.006
 104.221    0.667    0.006
 104.422    0.669    0.006
 104.623    0.656    0.006
 104.824    0.668    0.006
 105.025    0.668    0.006
 105.226    0.676    0.006
 105.427    0.664    0.006
 105.628    0.668    0.006
 105.829    0.674    0.006
 106.030    0.665    0.006
 106.231    0.661    0.006
 106.432    0.657    0.006
 106.633    0.665    0.006
 106.834    0.672    0.006
 107.035    0.670    0.006
 107.236    0.675    0.006
 107.437    0.673    0.006
 107.638    0.677    0.006
 107.839    0.675    0.006
 108.040    0.664    0.006
 108.241    0.662    0.006
 108.442    0.664    0.006
 108.643    0.671    0.006
 108.844    0.673    0.006
 109.045    0.675    0.006
 109.246    0.668    0.006
 109.447    0.669    0.006
 109.648    0.670    0.006
 109.849    0.661    0.006
 110.050    0.665    0.006
 110.251    0.666    0.006
 110.452    0.668    0.006
 110.653    0.669    0.006
 110.854    0.661    0.006
 111.055    0.668    0.006
 111.256    0.653    0.006
 111.457    0.655    0.006
 111.658    0.644    0.006
 111.859    0.638    0.006
 112.060    0.642    0.006
 112.261    0.616    0.006
 112.462    0.589    0.006
 112.663    0.563    0.006
 112.864    0.531    0.006
 113.065    0.511    0.006
 113.266    0.539    0.006
 113.467    0.554    0.006
 113.668    0.571    0.006
 113.869    0.589    0.006
 114.070    0.601    0.006
 114.271    0.610    0.006
 114.472    0.616    0.006
 114.673    0.619    0.006
 114.874    0.621    0.006
 115.075    0.629    0.006
 115.276    0.628    0.006
 115.477    0.624    0.006
 115.678    0.629    0.006
 115.879    0.612    0.006
 116.080    0.621    0.006
 116.281    0.603    0.006
 116.482    0.596    0.006
 116.683    0.583    0.006
 116.884    0.565    0.006
 117.085    0.524    0.006
 117.286    0.478    0.006
 117.487    0.348    0.006
 117.688    0.147    0.006
 117.889    0.014    0.006
 118.090    0.006    0.006
 118.291    0.164    0.006
 118.492    0.391    0.006
 118.693    0.511    0.006
 118.894    0.568    0.006
 119.095    0.601    0.006
 119.296    0.620    0.006
 119.497    0.644    0.006
 119.698    0.648    0.006
 119.899    0.651    0.006
 120.101    0.645    0.006
 120.302    0.651    0.006
 120.503    0.669    0.006
 120.704    0.656    0.006
 120.905    0.653    0.006
 121.106    0.663    0.006
 121.307    0.660    0.006
 121.508    0.668    0.006
 121.709    0.667    0.006
 121.910    0.656    0.006
 122.111    0.658    0.006
 122.312    0.669    0.006
 122.513    0.656    0.006
 122.714    0.659    0.006
 122.915    0.670    0.006
 123.116    0.667    0.006
 123.317    0.681    0.006
 123.518    0.669    0.006
 123.719    0.677    0.006
 123.920    0.668    0.006
 124.121    0.671    0.006
 124.322    0.667    0.006
 124.523    0.670    0.006
 124.724    0.675    0.006
 124.925    0.674    0.006
 125.126    0.665    0.006
 125.327    0.670    0.006
 125.528    0.663    0.006
 125.729    0.669    0.006
 125.930    0.667    0.006
 126.131    0.678    0.006
 126.332    0.668    0.006
 126.533    0.668    0.006
 126.734    0.662    0.006
 126.935    0.651    0.006
 127.136    0.680    0.006
 127.337    0.666    0.006
 127.538    0.674    0.006
 127.739    0.676    0.006
 127.940    0.669    0.006
 128.141    0.667    0.006
 128.342    0.675    0.006
 128.543    0.667    0.006
 128.744    0.665    0.006
 128.945    0.661    0.006
 129.146    0.669    0.006
 129.347    0.679    0.006
 129.548    0.674    0.006
 129.749    0.661    0.006
 129.950    0.675    0.006
 130.151    0.674    0.006
 130.352    0.673    0.006
 130.553    0.669    0.006
 130.754    0.663    0.006
 130.955    0.667    0.006
 131.156    0.670    0.006
 131.357    0.683    0.006
 131.558    0.672    0.006
 131.759    0.676    0.006
 131.960    0.665    0.006
 132.161    0.663    0.006
 132.362    0.660    0.006
 132.563    0.668    0.006
 132.764    0.668    0.006
 132.965    0.674    0.006
 133.166    0.674    0.006
 133.367    0.675    0.006
 133.568    0.667    0.006
 133.769    0.678    0.006
 133.970    0.673    0.006
 134.171    0.671    0.006
 134.372    0.672    0.006
 134.573    0.665    0.006
 134.774    0.668    0.006
 134.975    0.669    0.006
 135.176    0.678    0.006
 135.377    0.680    0.006
 135.578    0.669    0.006
 135.779    0.665    0.006
 135.980    0.669    0.006
 136.181    0.673    0.006
 136.382    0.670    0.006
 136.583    0.665    0.006
 136.784    0.663    0.006
 136.985    0.669    0.006
 137.186    0.655    0.006
 137.387    0.672    0.006
 137.588    0.672    0.006
 137.789    0.666    0.006
 137.990    0.679    0.006
 138.191    0.677    0.006
 138.392    0.664    0.006
 138.593    0.680    0.006
 138.794    0.664    0.006
 138.995    0.667    0.006
 139.196    0.668    0.006
 139.397    0.666    0.006
 139.598    0.675    0.006
 139.799    0.668    0.006
 140.000    0.664    0.006
# A2 R2a: 10.0 R2b: 10.0 dw: -1.0
 100.000    0.672    0.006
 100.201    0.669    0.006
 100.402    0.667    0.006
 100.603    0.674    0.006
 100.804    0.671    0.006
 101.005    0.667    0.006
 101.206    0.675    0.006
 101.407    0.678    0.006
 101.608    0.669    0.006
 101.809    0.672    0.006
 102.010    0.643    0.006
 102.211    0.673    0.006
 102.412    0.664    0.006
 102.613    0.666    0.006
 102.814    0.679    0.006
 103.015    0.672    0.006
 103.216    0.667    0.006
 103.417    0.659    0.006
 103.618    0.675    0.006
 103.819    0.667    0.006
 104.020    0.664    0.006
 104.221    0.675    0.006
 104.422    0.667    0.006
 104.623    0.656    0.006
 104.824    0.659    0.006
 105.025    0.668    0.006
 105.226    0.663    0.006
 105.427    0.673    0.006
 105.628    0.666    0.006
 105.829    0.669    0.006
 106.030    0.670    0.006
 106.231    0.660    0.006
 106.432    0.667    0.006
 106.633    0.676    0.006
 106.834    0.668    0.006
 107.035    0.674    0.006
 107.236    0.668    0.006
 107.437    0.660    0.006
 107.638    0.656    0.006
 107.839    0.654    0.006
 108.040    0.644    0.006
 108.241    0.629    0.006
 108.442    0.620    0.006
 108.643    0.584    0.006
 108.844    0.529    0.006
 109.045    0.462    0.006
 109.246    0.409    0.006
 109.447    0.302    0.006
 109.648    0.164    0.006
 109.849    0.004    0.006
 110.050    0.003    0.006
 110.251    0.163    0.006
 110.452    0.429    0.006
 110.653    0.538    0.006
 110.854    0.597    0.006
 111.055    0.625    0.006
 111.256    0.635    0.006
 111.457    0.646    0.006
 111.658    0.656    0.006
 111.859    0.637    0.006
 112.060    0.667    0.006
 112.261    0.656    0.006
 112.462    0.656    0.006
 112.663    0.668    0.006
 112.864    0.675    0.006
 113.065    0.656    0.006
 113.266    0.670    0.006
 113.467    0.664    0.006
 113.668    0.666    0.006
 113.869    0.658    0.006
 114.070    0.665    0.006
 114.271    0.666    0.006
 114.472    0.659    0.006
 114.673    0.663    0.006
 114.874    0.678    0.006
 115.075    0.670    0.006
 115.276    0.673    0.006
 115.477    0.679    0.006
 115.678    0.674    0.006
 115.879    0.672    0.006
 116.080    0.669    0.006
 116.281    0.673    0.006
 116.482    0.667    0.006
 116.683    0.665    0.006
 116.884    0.675    0.006
 117.085    0.661    0.006
 117.286    0.672    0.006
 117.487    0.669    0.006
 117.688    0.669    0.006
 117.889    0.679    0.006
 118.090    0.674    0.006
 118.291    0.666    0.006
 118.492    0.668    0.006
 118.693    0.672    0.006
 118.894    0.670    0.006
 119.095    0.673    0.006
 119.296    0.667    0.006
 119.497    0.671    0.006
 119.698    0.675    0.006
 119.899    0.671    0.006
 120.101    0.653    0.006
 120.302    0.669    0.006
 120.503    0.669    0.006
 120.704    0.667    0.006
 120.905    0.665    0.006
 121.106    0.674    0.006
 121.307    0.676    0.006
 121.508    0.673    0.006
 121.709    0.669    0.006
 121.910    0.680    0.006
 122.111    0.677    0.006
 122.312    0.665    0.006
 122.513    0.662    0.006
 122.714    0.675    0.006
 122.915    0.677    0.006
 123.116    0.666    0.006
 123.317    0.660    0.006
 123.518    0.665    0.006
 123.719    0.676    0.006
 123.920    0.674    0.006
 124.121    0.676    0.006
 124.322    0.663    0.006
 124.523    0.671    0.006
 124.724    0.672    0.006
 124.925    0.667    0.006
 125.126    0.665    0.006
 125.327    0.678    0.006
 125.528    0.669    0.006
 125.729    0.674    0.006
 125.930    0.674    0.006
 126.131    0.673    0.006
